SteamAppid,Description,Type,Name,Publishers,Developers,Windows,Mac,Linux,date,comingSoon,currency,discount_percent,initial_formatted,final_formatted
70,"Nombrado juego del año por más de 50 publicaciones, la ópera prima de Valve mezcla acción y aventuras con una tecnología galardonada con varios premios, en un mundo terriblemente realista en el que los jugadores deberán esforzarse por sobrevivir.",game,Half-Life,Valve,Valve,true,true,true,8 NOV 1998,false,ARS,0,,"ARS$ 129,99"
40,Disfruta del juego rápido para varios jugadores con Deathmatch Classic (alias DMC). DMC es todo un homenaje de Valve a id software y te hará trabajar a fondo con los lanzacohetes y los reflejos en escenarios futuristas.,game,Deathmatch Classic,Valve,Valve,true,true,true,1 JUN 2001,false,ARS,0,,"ARS$ 67,99"
60,Juego futurista de acción que pondrá a prueba tu agilidad y tu puntería. Ricochet te permite jugar solo o con tus amigos en diversos campos de batalla futuristas.,game,Ricochet,Valve,Valve,true,true,true,1 NOV 2000,false,ARS,0,,"ARS$ 400,00"
80,"Esta versión de Counter-Strike trae una extensa campaña Tour of Duty, un número casi ilimitado de escaramuzas, actualizaciones y nuevos contenidos para la modalidad multijugador, que ya ha recibido varios premios. Además, disfrutarás de más de 12 misiones para un solo jugador de regalo.",game,Counter-Strike: Condition Zero,Valve,Valve,true,true,true,1 MAR 2004,false,ARS,0,,"ARS$ 129,99"
30,"Enrólate en este emocionante combate entre las Fuerzas Aliadas y del Eje ambientado en los campos de batalla europeos de la Segunda Guerra Mundial. Tus amigos y tú podr&eacute;is elegir entre infantería ligera, pesada o de asalto, y francotirador o ametrallador.",game,Day of Defeat,Valve,Valve,true,true,true,1 MAY 2003,false,ARS,0,,"ARS$ 67,99"
80,"Esta versión de Counter-Strike trae una extensa campaña Tour of Duty, un número casi ilimitado de escaramuzas, actualizaciones y nuevos contenidos para la modalidad multijugador, que ya ha recibido varios premios. Además, disfrutarás de más de 12 misiones para un solo jugador de regalo.",game,Counter-Strike: Condition Zero,Valve,Valve,true,true,true,1 MAR 2004,false,ARS,0,,"ARS$ 129,99"
50,Vuelve a las instalaciones de investigación de Black Mesa en calidad de especialista militar destinado a eliminar a Gordon Freeman. Vive una historia para un jugador desde un punto de vista totalmente distinto. Bátete con feroces rivales alienígenas y experimenta con armas nuevas.,game,Half-Life: Opposing Force,Valve,Gearbox Software,true,true,true,1 NOV 1999,false,ARS,0,,"ARS$ 67,99"
10,"Disfruta del juego de acción en línea n° 1 en el mundo. Sum&eacute;rgete en el fragor de la guerra antiterrorista más realista con este archiconocido juego por equipos. Alíate con compañeros para superar misiones estrat&eacute;gicas, asalta bases enemigas, rescata rehenes, y recuerda que tu personaje contribuye al &eacute;xito del equipo...",game,Counter-Strike,Valve,Valve,true,true,true,1 NOV 2000,false,ARS,0,,"ARS$ 129,99"
20,"Estás ante uno de los juegos de acción en línea más populares de toda la historia. Team Fortress Classic incorpora más de nueve tipos de personaje (desde el m&eacute;dico al espía, pasando por el experto en explosivos) y los lanza a un combate en línea único.",game,Team Fortress Classic,Valve,Valve,true,true,true,1 ABR 1999,false,ARS,0,,"ARS$ 67,99"
2363740,"Entra en combate hasta arriba de equipamiento. Hazte con la mejora de Battlefield™ 2042 Elite Edition* y ponte al día con cuatro especialistas, diez armas y seis vehículos del primer año del juego. Y disfruta también del lote épico &quot;Mundo perdido&quot;.",dlc,Mejora de Battlefield™ 2042 Elite Edition,Electronic Arts,DICE,true,false,false,26 MAY 2023,false,ARS,0,,"ARS$ 5.399,00"
2195250,"EA SPORTS FC™ 24 te da la bienvenida a The World's Game: la experiencia futbolística más fiel hasta la fecha con HyperMotionV, Estilos de juego optimizados por Opta y el motor mejorado de Frostbite™.",game,EA SPORTS FC™ 24,Electronic Arts,EA Canada & EA Romania,true,false,false,28 SEP 2023,true,ARS,0,,"ARS$ 11.999,00"
1517290,No te rindas nunca en la temporada 5: Nuevo amanecer. Battlefield™ 2042 es un shooter en primera persona que marca el regreso a la emblemática guerra total de la franquicia.,game,Battlefield™ 2042,Electronic Arts,DICE,true,false,false,19 NOV 2021,false,ARS,0,,"ARS$ 6.399,00"
1811260,"FIFA 23 lleva el juego del mundo al campo con la tecnología HyperMotion2, la FIFA World Cup™ masculina y femenina, equipos de clubes femeninos, funciones Cross-Play** y mucho más.",game,EA SPORTS™ FIFA 23,Electronic Arts,EA Canada & EA Romania,true,false,false,29 SEP 2022,false,ARS,75,"ARS$ 8.999,00","ARS$ 2.249,75"
