SteamAppid,Description,Type,Name,Publishers,Developers,isFree,InterfaceLanguages,FullAudioLanguages,SubtitlesLanguages,Windows,Mac,Linux,Date,ComingSoon,Currency,DiscountPercent,InitialFormatted,FinalFormatted
1634540,This puzzle game helps your kids develop matching and fine motor skills. Your children will just love these wonderfully hand-drawn pictures and will improve their spatial skills while having fun!,game,Children's Jigsaw Puzzles - Beautifully Illustrated,Boogygames Studios,Boogygames Studios,false,Inglés,No hay soporte para este tipo de idioma,Inglés,true,false,false,27 MAY 2021,false,ARS,0,ARS 165.00,"ARS$ 165,00"
1634510,"The Longest Road on Earth es un juego desarrollado en torno a su banda sonora. No hay temas de relleno. El álbum incluye veinticuatro pistas sobrecogedoramente bellas que evocan emociones, experiencias y sentimientos nostálgicos.",dlc,The Longest Road on Earth Soundtrack by Beícoli,Raw Fury,"Brainwash Gang, TLR Games",false,"Inglés, Francés, Italiano, Alemán, Español de España, Árabe, Búlgaro, Checo, Danés, Holandés, Finés, Griego, Húngaro, Japonés, Coreano, Noruego, Polaco, Portugués de Portugal, Portugués de Brasil, Rumano, Ruso, Chino simplificado, Español de Hispanoamérica, Sueco, Tailandés, Chino tradicional, Turco, Ucraniano, Vietnamita<strong>*</strong>","Inglés, Francés, Italiano, Alemán, Español de España, Árabe, Búlgaro, Checo, Danés, Holandés, Finés, Griego, Húngaro, Japonés, Coreano, Noruego, Polaco, Portugués de Portugal, Portugués de Brasil, Rumano, Ruso, Chino simplificado, Español de Hispanoamérica, Sueco, Tailandés, Chino tradicional, Turco, Ucraniano","Inglés, Francés, Italiano, Alemán, Español de España, Árabe, Búlgaro, Checo, Danés, Holandés, Finés, Griego, Húngaro, Japonés, Coreano, Noruego, Polaco, Portugués de Portugal, Portugués de Brasil, Rumano, Ruso, Chino simplificado, Español de Hispanoamérica, Sueco, Tailandés, Chino tradicional, Turco, Ucraniano, Vietnamita<strong>*</strong>",true,false,false,27 MAY 2021,false,ARS,0,ARS 94.99,"ARS$ 94,99"
1634520,,game,Spacey Vade Playtest,,,false,,No hay soporte para este tipo de idioma,,true,false,false,2 NOV 2021,false,,0,ARS 0.00,
1634490,,game,The Trud Playtest,,,false,,No hay soporte para este tipo de idioma,,true,false,false,13 MAY 2021,false,,0,ARS 0.00,
1634600,"You are the owner of &quot;Beach House&quot;, a shop run on a pick-up beach. Your goal is to change this pick-up beach into your dream nudist fucking beach where anyone can do lewd things whenever they want to. Spread rumors, hold events, etc, and change the beach's mood to make your dreams come true.",game,Let's Turn Pick-Up Beach to a Nudist Fucking Beach!,Far East Studio,KISAMAMAKI SOFT,false,"Inglés, Japonés, Chino simplificado, Chino tradicional",No hay soporte para este tipo de idioma,"Inglés, Japonés, Chino simplificado, Chino tradicional",true,false,false,10 JUN 2021,false,ARS,0,ARS 938.90,"ARS$ 938,90"
1634695,Un pase que te otorga acceso a una gran variedad de DLC disponible después del lanzamiento del juego por menor precio.,dlc,SAMURAI WARRIORS 5 - Season Pass,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",false,"Inglés, Francés, Alemán, Chino tradicional, Japonés<strong>*</strong>",No hay soporte para este tipo de idioma,"Inglés, Francés, Alemán, Chino tradicional, Japonés<strong>*</strong>",true,false,false,26 JUL 2021,false,ARS,0,ARS 1499.00,"ARS$ 1.499,00"
1634700,Incluye el siguiente contenido adicional: Additional Horse &quot;Silver Coat&quot;,dlc,"SAMURAI WARRIORS 5 - Additional Horse ""Silver Coat""","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",false,"Inglés, Francés, Alemán, Chino tradicional, Japonés<strong>*</strong>",No hay soporte para este tipo de idioma,"Inglés, Francés, Alemán, Chino tradicional, Japonés<strong>*</strong>",true,false,false,4 AGO 2021,false,ARS,0,ARS 79.00,"ARS$ 79,00"
1634704,"Incluye el siguiente contenido adicional: Additional Weapon Set 2 (Blade and Matchlock, Great Spear, Gloves)",dlc,SAMURAI WARRIORS 5 - Additional Weapon set 2,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",false,"Inglés, Francés, Alemán, Chino tradicional, Japonés<strong>*</strong>",No hay soporte para este tipo de idioma,"Inglés, Francés, Alemán, Chino tradicional, Japonés<strong>*</strong>",true,false,false,4 AGO 2021,false,ARS,0,ARS 129.00,"ARS$ 129,00"
1634698,Incluye el siguiente contenido adicional: Additional Horse &quot;Iron Coat&quot;,dlc,"SAMURAI WARRIORS 5 - Additional Horse ""Iron Coat""","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",false,"Inglés, Francés, Alemán, Chino tradicional, Japonés<strong>*</strong>",No hay soporte para este tipo de idioma,"Inglés, Francés, Alemán, Chino tradicional, Japonés<strong>*</strong>",true,false,false,4 AGO 2021,false,ARS,0,ARS 79.00,"ARS$ 79,00"
1634703,"Incluye el siguiente contenido adicional: Additional Weapon Set 1 (Ōdachi, Bow, Talisman)",dlc,SAMURAI WARRIORS 5 - Additional Weapon set 1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",false,"Inglés, Francés, Alemán, Chino tradicional, Japonés<strong>*</strong>",No hay soporte para este tipo de idioma,"Inglés, Francés, Alemán, Chino tradicional, Japonés<strong>*</strong>",true,false,false,4 AGO 2021,false,ARS,0,ARS 129.00,"ARS$ 129,00"
1634697,Incluye el siguiente contenido adicional: Additional Horse &quot;Ghost&quot;,dlc,"SAMURAI WARRIORS 5 - Additional Horse ""Ghost""","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",false,"Inglés, Francés, Alemán, Chino tradicional, Japonés<strong>*</strong>",No hay soporte para este tipo de idioma,"Inglés, Francés, Alemán, Chino tradicional, Japonés<strong>*</strong>",true,false,false,18 AGO 2021,false,ARS,0,ARS 79.00,"ARS$ 79,00"
1634702,Incluye el siguiente contenido adicional: Additional Horse &quot;Qilin&quot;,dlc,"SAMURAI WARRIORS 5 - Additional Horse ""Qilin""","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",false,"Inglés, Francés, Alemán, Chino tradicional, Japonés<strong>*</strong>",No hay soporte para este tipo de idioma,"Inglés, Francés, Alemán, Chino tradicional, Japonés<strong>*</strong>",true,false,false,18 AGO 2021,false,ARS,0,ARS 79.00,"ARS$ 79,00"
1634699,Incluye el siguiente contenido adicional: Additional Horse &quot;Black Shadow&quot;,dlc,"SAMURAI WARRIORS 5 - Additional Horse ""Black Shadow""","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",false,"Inglés, Francés, Alemán, Chino tradicional, Japonés<strong>*</strong>",No hay soporte para este tipo de idioma,"Inglés, Francés, Alemán, Chino tradicional, Japonés<strong>*</strong>",true,false,false,18 AGO 2021,false,ARS,0,ARS 79.00,"ARS$ 79,00"
1634701,Incluye el siguiente contenido adicional: Additional Horse &quot;Armor Coat&quot;,dlc,"SAMURAI WARRIORS 5 - Additional Horse ""Armor Coat""","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",false,"Inglés, Francés, Alemán, Chino tradicional, Japonés<strong>*</strong>",No hay soporte para este tipo de idioma,"Inglés, Francés, Alemán, Chino tradicional, Japonés<strong>*</strong>",true,false,false,4 AGO 2021,false,ARS,0,ARS 79.00,"ARS$ 79,00"
