appid,name
990080,Hogwarts Legacy
730,Counter-Strike: Global Offensive
1172470,Apex Legends™
1085660,Destiny 2
1938090,Call of Duty®: Modern Warfare® II
1938010,WILD HEARTS™
1649240,Returnal™
1599340,Lost Ark
397540,Borderlands 3
39210,FINAL FANTASY XIV Online
252490,Rust
230410,Warframe
1286680,Tiny Tina's Wonderlands
306130,The Elder Scrolls® Online
1245620,ELDEN RING
1496790,Gotham Knights
489830,The Elder Scrolls V: Skyrim Special Edition
208650,Batman™: Arkham Knight
1172620,Sea of Thieves
1693980,Dead Space
359550,Tom Clancy's Rainbow Six® Siege
381210,Dead by Daylight
271590,Grand Theft Auto V
2231450,Pizza Tower
1817230,Hi-Fi RUSH
582660,Black Desert
1142710,Total War: WARHAMMER III
578080,PUBG: BATTLEGROUNDS
1671200,Honkai Impact 3rd
440,Team Fortress 2
9900,Star Trek Online
1030840,Mafia: Definitive Edition
924970,Back 4 Blood
552990,World of Warships
386360,SMITE®
1451190,Undisputed
1144200,Ready or Not
311210,Call of Duty®: Black Ops III
1446780,MONSTER HUNTER RISE
49520,Borderlands 2
1276760,DRAGON BALL: THE BREAKERS
1203220,NARAKA: BLADEPOINT
8870,BioShock Infinite
1296450,Dust & Neon
1217060,Gunfire Reborn
1174180,Red Dead Redemption 2
518790,theHunter: Call of the Wild™
1286830,STAR WARS™: The Old Republic™
2212330,Your Only Move Is HUSTLE
238960,Path of Exile
